"template_key","icon","name_th","description_th","maps_to_nhso","check_key","seq"
"REQUIRED","check-square","ตรวจความครบของฟิลด์","บังคับให้ฟิลด์ที่เลือกต้องมีค่าก่อนส่งเบิก","","","1"
"RANGE","sliders","ตรวจช่วงค่า","ค่าต้องอยู่ในช่วงที่กำหนด เช่น จำนวนวันนอน จำนวนหน่วยยา","","","2"
"DXPROC","git-merge","ตรวจความสัมพันธ์ Dx – Proc","รหัสหัตถการต้องสอดคล้องกับการวินิจฉัยตามตารางคู่","P061","","3"
"CATALOGUE","tag","ตรวจราคาเทียบ Drug Catalogue","ราคาที่เบิกต้องไม่เกินราคาในแคตตาล็อกที่มีผล ณ วันที่รับบริการ","P124","drug_price_catalogue","4"
"APPROVE","key-round","ตรวจเลขปิดสิทธิ / Approve Code","เลขที่บันทึกต้องตรงกับฐานข้อมูลหน่วยบริการ","C305","payer_doc_present","5"
"DOCS","paperclip","ตรวจเอกสารแนบ","เอกสารที่ต้องมีตามประเภทเคสต้องครบก่อนส่ง","","mra_component_present","6"
